All hps: 2021-11-21 21:39:11 model=clp_mnist dataset=mnist attack=square_linf n_ex=1000 eps=0.2 p=0.3 n_iter=200
Clean accuracy: 98.40%
1: acc=96.20% acc_corr=97.76% avg#q_ae=1.41 med#q=1.0, avg_margin=2.15 (n_ex=984, eps=0.200, 0.79s)
2: acc=95.80% acc_corr=97.36% avg#q_ae=1.65 med#q=1.5, avg_margin=2.09 (n_ex=984, eps=0.200, 1.45s)
3: acc=95.60% acc_corr=97.15% avg#q_ae=1.82 med#q=2.0, avg_margin=2.05 (n_ex=984, eps=0.200, 2.19s)
4: acc=95.10% acc_corr=96.65% avg#q_ae=2.30 med#q=2.0, avg_margin=2.01 (n_ex=984, eps=0.200, 2.92s)
5: acc=94.60% acc_corr=96.14% avg#q_ae=2.79 med#q=2.0, avg_margin=1.98 (n_ex=984, eps=0.200, 3.74s)
6: acc=94.20% acc_corr=95.73% avg#q_ae=3.19 med#q=2.0, avg_margin=1.95 (n_ex=984, eps=0.200, 4.44s)
7: acc=93.80% acc_corr=95.33% avg#q_ae=3.61 med#q=3.0, avg_margin=1.93 (n_ex=984, eps=0.200, 5.15s)
8: acc=93.40% acc_corr=94.92% avg#q_ae=4.04 med#q=3.0, avg_margin=1.91 (n_ex=984, eps=0.200, 5.80s)
9: acc=93.00% acc_corr=94.51% avg#q_ae=4.48 med#q=4.0, avg_margin=1.90 (n_ex=984, eps=0.200, 6.55s)
10: acc=92.60% acc_corr=94.11% avg#q_ae=4.93 med#q=5.0, avg_margin=1.88 (n_ex=984, eps=0.200, 7.26s)
11: acc=92.10% acc_corr=93.60% avg#q_ae=5.49 med#q=5.0, avg_margin=1.87 (n_ex=984, eps=0.200, 7.95s)
12: acc=91.80% acc_corr=93.29% avg#q_ae=5.83 med#q=5.5, avg_margin=1.85 (n_ex=984, eps=0.200, 8.72s)
13: acc=91.50% acc_corr=92.99% avg#q_ae=6.19 med#q=6.0, avg_margin=1.84 (n_ex=984, eps=0.200, 9.38s)
14: acc=91.30% acc_corr=92.78% avg#q_ae=6.44 med#q=6.0, avg_margin=1.83 (n_ex=984, eps=0.200, 10.03s)
15: acc=91.10% acc_corr=92.58% avg#q_ae=6.70 med#q=6.0, avg_margin=1.82 (n_ex=984, eps=0.200, 10.79s)
